Time	Target	Distance	Bearing
3,3	0	42,2612	147,329
3,3	5	29,6338	130,348
3,3	8	46,7574	311,103
3,3	9	23,8312	330,179
3,3	16	10,8908	244,143
3,3	17	42,1759	9,82989
3,3	18	28,0319	311,527
3,3	19	15,498	142,39
3,3	20	21,5815	44,8958
3,3	22	38,2535	116,122
===========================================
3,4	0	42,9744	146,939
3,4	5	28,7572	133,184
3,4	8	47,524	310,87
3,4	9	23,8532	332,462
3,4	16	9,84315	245,348
3,4	17	42,45	9,95839
3,4	18	27,7744	310,059
3,4	19	15,8114	139,107
3,4	20	22,3772	43,0306
3,4	22	38,0729	115,841
===========================================
3,5	0	43,6896	146,562
3,5	5	27,9194	136,338
3,5	8	48,3107	310,64
3,5	9	23,9129	334,737
3,5	16	8,8009	246,838
3,5	17	42,7431	10,0939
3,5	18	27,5355	308,564
3,5	19	16,1746	135,962
3,5	20	23,195	41,2953
3,5	22	37,8933	115,558
===========================================
3,6	0	44,4066	146,197
3,6	5	27,1395	139,83
3,6	8	49,1177	310,411
3,6	9	24,01	336,997
3,6	16	7,7662	248,727
3,6	17	43,0555	10,2362
3,6	18	27,3157	307,044
3,6	19	16,5843	132,963
3,6	20	24,0327	39,6795
3,6	22	37,7145	115,271
===========================================
3,7	0	45,1254	145,844
3,7	5	26,4397	143,678
3,7	8	49,9449	310,185
3,7	9	24,1442	339,235
3,7	16	6,74252	251,193
3,7	17	43,387	10,3848
3,7	18	27,1154	305,5
3,7	19	17,0372	130,116
3,7	20	24,8881	38,1736
3,7	22	37,5368	114,983
===========================================
3,8	0	45,8458	145,501
3,8	5	25,8443	147,887
3,8	9	24,3148	341,445
3,8	16	5,73578	254,533
3,8	17	43,7379	10,5395
3,8	18	26,9351	303,935
3,8	19	17,5299	127,423
3,8	20	25,7596	36,7688
3,8	22	37,36	114,691
===========================================
3,9	0	46,5678	145,169
3,9	5	25,3796	152,447
3,9	9	24,521	343,621
3,9	16	4,75674	259,27
3,9	17	44,108	10,6999
3,9	18	26,7751	302,35
3,9	19	18,0592	124,882
3,9	20	26,6456	35,4566
3,9	22	37,1842	114,396
===========================================
4	0	47,2914	144,848
4	5	25,073	157,328
4	9	24,762	345,758
4	16	3,82672	266,381
4	17	44,4974	10,8656
4	18	26,6359	300,746
4	19	18,6219	122,49
4	20	27,5446	34,2294
4	22	37,0093	114,099
===========================================
4,1	0	48,0164	144,536
4,1	5	24,9512	162,476
4,1	9	25,0367	347,851
4,1	16	2,99179	277,731
4,1	17	44,9063	11,0363
4,1	18	26,5177	299,128
4,1	19	19,2152	120,243
4,1	20	28,4555	33,0803
4,1	22	36,8355	113,799
===========================================
4,2	0	48,7427	144,233
4,2	5	25,0384	167,816
4,2	9	25,3441	349,896
4,2	16	2,35534	296,379
4,2	17	45,3346	11,2117
4,2	18	26,4208	297,496
4,2	19	19,8362	118,133
4,2	20	29,3771	32,0029
4,2	22	36,6627	113,496
===========================================
4,3	0	49,4704	143,939
4,3	5	25,3546	173,251
4,3	9	25,683	351,889
4,3	16	2,10575	323,398
4,3	17	45,7823	11,3913
4,3	18	26,3456	295,854
4,3	19	20,4825	116,153
4,3	20	30,3084	30,9914
4,3	22	36,4909	113,191
===========================================
4,4	5	25,9137	178,677
4,4	9	26,0521	353,828
4,4	16	2,36867	350,253
4,4	17	46,2496	11,5749
4,4	18	26,2921	294,203
4,4	19	21,1517	114,297
4,4	20	31,2486	30,0405
4,4	22	36,3202	112,882
===========================================
4,5	5	26,7229	183,979
4,5	9	26,4502	355,711
4,5	16	3,01277	8,65784
4,5	17	46,7365	11,7621
4,5	18	26,2605	292,547
4,5	19	21,8417	112,557
4,5	20	32,197	29,1453
4,5	22	36,1505	112,57
===========================================
4,6	5	27,7823	189,089
4,6	9	26,876	357,536
4,6	16	3,85134	19,855
4,6	17	47,243	11,9525
4,6	18	26,2508	290,889
4,6	19	22,5507	110,924
4,6	20	33,1527	28,3016
4,6	22	35,982	112,256
===========================================
4,7	5	29,0867	193,924
4,7	9	27,3282	359,303
4,7	16	4,78316	26,8805
4,7	17	47,7691	12,1458
4,7	18	26,2632	289,23
4,7	19	23,2768	109,392
4,7	20	34,1153	27,5053
4,7	22	35,8145	111,938
===========================================
4,8	5	30,6261	198,438
4,8	9	27,8055	1,00988
4,8	16	5,76317	31,5689
4,8	17	48,3149	12,3417
4,8	18	26,2976	287,575
4,8	19	24,0185	107,954
4,8	20	35,084	26,7528
4,8	22	35,6481	111,618
===========================================
4,9	5	32,3878	202,607
4,9	9	28,3067	2,65821
4,9	16	6,77049	34,8793
4,9	17	48,8805	12,5399
4,9	18	26,3538	285,925
4,9	19	24,7745	106,602
4,9	20	36,0585	26,0409
4,9	22	35,4828	111,295
===========================================
5	5	34,3577	206,426
5	9	28,8305	4,24791
5	16	7,79453	37,3263
5	17	49,4658	12,7401
5	18	26,4317	284,284
5	19	25,5435	105,331
5	20	37,0382	25,3666
